 40952	37.79800 0.01623	40952 2459244.8812246	-23.059901	0.00176 0.00194 0.00087	1.39900
 49800	-11.61193 0.01350	49800 2459466.9778762	26.490993	-0.07777 -0.07037 -0.07830	1.89900
 50954	-9.26227 0.01424	50954 2459487.9479492	24.024074	-0.02351 -0.02079 -0.02358	1.61900
 51246	-5.13495 0.03639	51246 2459502.9160709	20.319288	-0.21377 -0.20164 -0.21090	1.54800
 51252	-5.08602 0.03903	51252 2459503.0526530	20.056578	-0.20616 -0.19399 -0.20375	1.14400
 51852	-3.90510 0.01874	51852 2459507.9076170	18.764927	-0.24670 -0.23403 -0.24379	1.51200
 51864	-3.61436 0.01405	51864 2459508.0575233	18.467185	-0.24586 -0.22734 -0.24140	1.14700
 52480	-3.24096 0.01895	52480 2459509.8824794	18.138292	-0.21938 -0.20220 -0.21673	1.66500
 52494	-2.97022 0.01487	52494 2459510.0527561	17.807326	-0.21927 -0.20936 -0.21426	1.14700
 53058	-1.55725 0.01701	53058 2459514.9129145	16.329037	-0.04850 -0.04493 -0.04738	1.37400
 53076	-1.12836 0.01431	53076 2459515.1112642	15.919851	-0.03036 -0.02711 -0.03027	1.27400
 53484	4.75816 0.01720	53484 2459530.8322767	9.986872	-0.12457 -0.11598 -0.12197	1.60500
 53498	4.98185 0.02513	53498 2459531.0075395	9.623672	-0.12145 -0.11384 -0.11956	1.15500
